POS,beautifully crafted and cooly unsettling . . . recreates the atmosphere of the crime expertly .,magnifiquement conçu et cooly troublant . . . recrée de manière experte l ' atmosphère du crime .,สร้างขึ้นอย่างสวยงามและไม่มั่นคงเย็นตา . . สร้างบรรยากาศของอาชญากรรมอย่างเชี่ยวชาญ,شيدت بشكل جميل وغير مستقر ... رائع ... بخلق خلق جو من الجريمة.,美しく細工された冷静な不安 。 。 。 犯罪の雰囲気を巧みに再現します 。,精美的制作和苦恼令人不安 。 。 。 专业地重现犯罪的气氛 。
POS,a wildly funny prison caper .,un câlin de prison follement drôle .,นักโทษกระโดดโลดเต้นที่ตลกอย่างดุเดือด,السجناء يقفون بعنف في النكتة,非常に面白い刑務所ケーパー 。,一个非常有趣的监狱 。
POS,the film ' s images give a backbone to the company and provide an emotional edge to its ultimate demise .,les images du film donnent une épine dorsale à la société et confèrent un avantage émotionnel à sa disparition ultime .,อิมเมจของภาพยนตร์มอบกระดูกสันหลังให้กับ บริษัท และมอบอารมณ์ความรู้สึกให้กับการตายขั้นสูงสุด,صورة الفيلم يعطي الشركة العمود الفقري وأعلى مستوى من العاطفة.,映画のイメージは会社にバックボーンを与え 、 その最終的な終焉に感情的な優位性を提供します 。,电影的形象为公司提供了支柱 ， 并为其最终消亡提供了情感上的优势 。
POS,"a directorial tour de force by bernard rose , ivans xtc . is one of this year ' s very best pictures .","un tour de force de bernard rose , ivans xtc . est l ' une des meilleures images de cette année .","ผู้กำกับทัวร์เดอบังคับโดยเบอร์นาร์ดโรส, ivans xtc เป็นหนึ่งในภาพที่ดีที่สุดของปีนี้",تعد سيارة XTC IVANS واحدة من أفضل الصور لهذا العام ، وهي جولة سياحية من إخراج Bernard Rose .,バーナードローズによる監督のツアーデフォース 、 ivans xtc 。 今年の最高の写真のひとつです 。,bernard rose ， ivans xtc的导演巡演 。 是今年最好的照片之一 。
POS,rubbo ' s humorously tendentious intervention into the who - wrote - shakespeare controversy .,intervention humblement tendancieuse de rubbo dans la controverse qui a écrit - shakespeare .,การขัดจังหวะอย่างอ่อนโยนของรูโบเกี่ยวกับการโต้เถียงของเชกสเปียร์,انقطاع روبو اللطيف عن حجة شكسبير,誰が書いたシェイクスピアの論争へのrubboのユーモラスな傾向のある介入 。,rubbo幽默地倾向于干涉谁写的莎士比亚争议 。
POS,"filmmakers david weissman and bill weber benefit enormously from the cockettes ' camera craziness - - not only did they film performances , but they did the same at home .","les réalisateurs david weissman et bill weber profitent énormément de la folie des caméras des cockettes - non seulement ils ont filmé des performances , mais ils ont fait de même à la maison .",ผู้สร้างภาพยนตร์ david weissman และ bill weber ได้รับประโยชน์อย่างมากมายจากความบ้าคลั่งของกล้อง cockettes - ไม่เพียง แต่พวกเขาแสดงภาพยนตร์ แต่พวกเขาก็ทำที่บ้านเหมือนกัน,السينمائيين ديفيد وايزمان و مشروع قانون ويبر قد استفادت بشكل كبير من الهيجان الكاميرا cockettes - ليس فقط ، لكنها تظهر في الفيلم. لكنهم يفعلون ذلك أيضا في المنزل أيضا,david weissmanとbill weberは 、 cockettesのカメラの狂気から非常に大きな恩恵を受けています - 彼らが自宅で映画を上映しただけでなく 、 同じことをしました 。,电影制作人大卫威斯曼和比尔韦伯从cockettes的相机疯狂中受益匪浅 - 他们不仅拍摄了电影表演 ， 而且他们在家里也做了同样的事情 。
POS,[barry] gives assassin a disquieting authority .,[barry] donne à l ' assassin une autorité inquiétante .,[barry] ให้สิทธิ์แก่นักฆ่าที่น่ากลัว,[باري] إعطاء امتياز لقاتل رهيب,[barry]は暗殺者に失格の権威を与える 。,[巴里]给了刺客一个令人不安的权威 。
POS,"not only is it a charming , funny and beautifully crafted import , it uses very little dialogue , making it relatively effortless to read and follow the action at the same time .","non seulement il s’agit d’une importation charmante , drôle et admirablement conçue , mais elle utilise très peu de dialogue , ce qui permet de lire et de suivre l’action en même temps .",ไม่เพียง แต่จะเป็นการนำเข้าที่มีเสน่ห์ตลกและสวยงามมันใช้บทสนทนาน้อยมากทำให้การอ่านและติดตามการกระทำในเวลาเดียวกันค่อนข้างง่าย,إنه ليس فقط استيرادًا ساحرًا ومضحكًا وجميلًا ، ولكنه يستخدم القليل جدًا من الحوار ، مما يجعل القراءة ومتابعة الإجراءات في نفس الوقت أمرًا سهلاً للغاية.,それは魅力的で 、 面白く 、 そして美しく作られた輸入であるだけでなく 、 それは非常に小さい対話を使用して 、 それを同時に読んでそして行動に従うのを比較的楽にします 。,它不仅是一个迷人 ， 有趣和精美的导入 ， 它使用非常少的对话 ， 使它相对容易阅读和同时遵循行动 。
POS,"mr . tsai is a very original artist in his medium , and what time is it there ? should be seen at the very least for its spasms of absurdist humor .","m . tsai est un artiste très original dans son médium , et quelle heure est - il là ? devrait être vu au moins pour ses spasmes d ' humour absurde .",นาย . Tsai เป็นศิลปินดั้งเดิมในสื่อของเขาและเวลาเท่าไหร่? ควรจะเห็นอย่างน้อยที่สุดสำหรับการหดเกร็งของอารมณ์ขันไร้สาระ,السيد تساي هو فنان تقليدي في وسائل الإعلام وكم من الوقت ؟ ينبغي أن ينظر إليه ، على الأقل ، لتقلص الفكاهة دون جدوى,氏 。 tsaiは彼の媒体の非常に独創的な芸術家です 、 そして 、 それは何時そこにありますか？少なくとも不条理なユーモアの痙攣のため​​に少なくとも見られるべきです 。,先生 。 tsai在他的媒介中是一位非常原创的艺术家 ， 现在几点了？应该至少看到其荒谬幽默的痉挛 。
POS,a conventional but heartwarming tale .,un conte conventionnel mais réconfortant .,เรื่องธรรมดา แต่อบอุ่นใจ,عادي لكن دافئ,従来の 、 しかし心温まる物語 。,一个传统但温馨的故事 。
POS,daughter from danang sticks with its subjects a little longer and tells a deeper story,fille de danang colle avec ses sujets un peu plus longtemps et raconte une histoire plus profonde,ลูกสาวจากดานังติดกับวิชาอีกเล็กน้อยและเล่าเรื่องที่ลึกกว่า,ابنة دا نانغ مرتبطة بموضوعات أكثر قليلاً وتروي قصة أعمق.,ダナンの娘はもう少し長くその主題にこだわり 、 より深い物語を語る,来自danang的女儿坚持使用它的主题 ， 并讲述了一个更深层次的故事
POS,"the story , like life , refuses to be simple , and the result is a compelling slice of awkward emotions .","l ' histoire , comme la vie , refuse d ' être simple et le résultat est une tranche convaincante d ' émotions maladroites .",เรื่องราวเช่นชีวิตปฏิเสธที่จะเรียบง่ายและผลที่ได้คือชิ้นที่น่าสนใจของอารมณ์ที่น่าอึดอัดใจ,قصص مثل الحياة ترفض أن تكون بسيطة ، والنتيجة هي قطعة مثيرة للاهتمام من العاطفة المحرجة.,人生のように 、 物語は単純であることを拒みます 、 そして結果は厄介な感情の説得力のあるスライスです 。,这个故事就像生活一样 ， 拒绝简单 ， 结果是令人信服的尴尬情绪 。
POS,an average kid - empowerment fantasy with slightly above - average brains .,un fantasme moyen d ' autonomisation des enfants avec des cerveaux légèrement supérieurs à la moyenne .,เด็กโดยเฉลี่ย - พลังในการจินตนาการที่เพิ่มขึ้นเล็กน้อย - สมองเฉลี่ย,متوسط ​​الطفل - زيادة طفيفة قوة الخيال - الدماغ المتوسط,やや平均以上の頭脳を持つ平均的な子供エンパワーメントファンタジー 。,一个平均的儿童赋权幻想 ， 大​​脑略高于平均水平 。
POS,"an energetic , violent movie with a momentum that never lets up .",un film énergique et violent avec un élan qui ne lâche jamais .,ภาพยนตร์ที่เต็มไปด้วยพลังและมีความรุนแรงพร้อมโมเมนตัมที่ไม่เคยยอมแพ้,فيلم مليء بالطاقة والعنف مع الزخم الذي لا يستسلم أبدا.,決して勢いのない勢いのある精力的で暴力的な映画 。,一部精力充沛 ， 充满暴力的电影 ， 动力永不放松 。
POS,raimi and his team couldn ' t have done any better in bringing the story of spider - man to the big screen .,raimi et son équipe n ' auraient pu faire mieux pour porter l ' histoire de spider - man au grand écran .,ไรมิและทีมของเขาไม่สามารถทำได้ดีกว่านี้ในการนำเรื่องราวของสไปเดอร์แมนไปสู่จอภาพยนตร์,لم يستطع ريمي وفريقه أداء ما هو أفضل من إحضار قصة الرجل العنكبوت إلى الشاشة.,raimiと彼のチームは 、 スパイダーマンの話を大画面に表示するためにこれ以上のことはできませんでした 。,拉米和他的团队在把蜘蛛侠的故事带到大银幕上时 ， 做得更好 。
POS,"often hilarious , well - shot and , importantly , entertaining , hell house is a fascinating document of an event that has to be seen to be believed .","souvent hilarant , bien filmé et , surtout , divertissant , hell house est un document fascinant sur un événement qu ' il faut voir pour le croire .",มักเฮฮายิงได้ดีและที่สำคัญความบันเทิงบ้านนรกเป็นเอกสารที่น่าสนใจของเหตุการณ์ที่ต้องเชื่อ,غالبًا ما تكون فرحانًا وتطلق النار بشكل جيد والأهم من ذلك أنها مسلية. منزل Hell هو مستند مثير للاهتمام بالأحداث التي يجب تصديقها,多くの場合 、 陽気でよく撃たれ 、 そして面白いことに 、 地獄の家は信じられていると見なされなければならないイベントの魅力的な文書です 。,地狱之家经常是热闹的 ， 精心拍摄的 ， 而且很重要的是娱乐性 ， 它是一个令人着迷的文件 ， 必须被视为可信 。
POS,the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them . strange occurrences build in the mind of the viewer and take on extreme urgency .,le travail d ' un cinéaste qui a des secrets enfouis au cœur de son récit et qui sait prendre le temps de les révéler . des événements étranges construisent l ' esprit du spectateur et prennent une extrême urgence .,ผลงานของผู้สร้างภาพยนตร์ที่มีความลับฝังอยู่ในใจเรื่องราวของเขาและรู้วิธีที่จะใช้เวลาเปิดเผยพวกเขา เหตุการณ์แปลก ๆ สร้างขึ้นในใจของผู้ชมและดำเนินการอย่างเร่งด่วน,يحتوي عمل المخرجين على سر في قصصه ويعرف كيف يقضي الوقت في كشفها. غريبة الأشياء التي تم إنشاؤها في ذهن المشاهد، وتعمل على وجه السرعة.,彼の物語の中心に秘密が隠されていて 、 それらを明らかにするために時間がかかる方法を知っている映画製作者の作品 。 奇妙な出来事は視聴者の心の中に築き上げられ 、 非常に緊急になります 。,一个电影制作人的作品 ， 他的秘密埋藏在他的故事的核心 ， 知道如何花时间揭示他们 。 奇怪的事件在观众心中形成 ， 并且极为紧迫 。
POS,[majidi] makes us think twice about immigrants we see around us every day .,[majidi] nous fait réfléchir à deux fois sur les immigrants que nous voyons autour de nous tous les jours .,[majidi] ทำให้เราคิดสองครั้งเกี่ยวกับผู้อพยพที่เราเห็นรอบตัวเราทุกวัน,[المجيدي] يجعلنا نفكر مرتين في المهاجرين الذين نراهم من حولنا كل يوم.,[majidi]は毎日私たちの周りにいる移民について二度考えさせます 。,[majidi]让我们三思而后行 ， 每天都看到我们身边的移民 。
POS,"vividly demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .",démontre de manière éclatante que le réalisateur de superproductions hollywoodiennes telles que les jeux patriot peut encore se transformer en un petit film personnel empreint d’émotion .,แสดงให้เห็นอย่างเต็มตาว่าผู้กำกับภาพยนตร์ฮอลลีวู้ดเช่นผู้รักชาติเกมยังคงสามารถสร้างภาพยนตร์ส่วนตัวขนาดเล็กที่มีอารมณ์ดี,أثبتت تقريبًا أن مديري أفلام هوليود مثل ألعاب باتريوت لا يزال بإمكانهم إنتاج أفلام شخصية صغيرة ذات عواطف جيدة.,パトリオットゲームのようなハリウッドの大ヒット作の監督が 、 感情的なワロップを付けた小さな個人的な映画をまだ生み出すことができることを鮮やかに示しています 。,生动地表明 ， 像爱国者游戏这样的好莱坞大片的导演仍然可以制作一部带有情感冲击力的小型个人电影 。
POS,there has been a string of ensemble cast romances recently . . . but peter mattei ' s love in the time of money sets itself apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note .,il y a eu récemment une série de romances de castes ensemble . . . mais l ' amour de peter mattei au temps de l ' argent se distingue par la formation d ' une chaîne de relations qui se terminent en cercle et se terminent sur une note positive ( si tragique ) .,เมื่อไม่นานมานี้มีสตริงนักแสดงนักแสดง . . แต่ความรักของปีเตอร์ Mattei ในช่วงเวลาของเงินแยกตัวออกจากกันโดยการก่อให้เกิดความสัมพันธ์ที่เต็มไปด้วยความกลมกลืนจนจบลงด้วยข้อความเชิงบวก (ถ้าโศกนาฏกรรม),منذ وقت ليس ببعيد ، كان هناك سلسلة من الممثلين والممثلين ... ولكن حب بيتر ماتي في وقت المال المنفصل عن بعضهما البعض عن طريق خلق علاقة متناغمة انتهت برسالة إيجابية. ( إذا المأساة ),最近 、 アンサンブルキャストのロマンスのストリングがありました 。 。 。 しかし 、 お金の時代におけるピーター・マッテイの愛は 、 （ 悲劇的であれば ） 前向きなメモで一周する一連の関係を形成することによって 、 一線を画しています 。,最近有一连串合奏演员浪漫 。 。 。 但是彼得 · 马泰在金钱时代的爱情通过形成一系列关系来完全脱离 ， 以一种积极的 （ 如果是悲剧性的 ） 音符结束 。
POS,it ' s no accident that the accidental spy is a solid action pic that returns the martial arts master to top form .,ce n’est pas un hasard si l’espion accidentel est une solide image qui ramène le maître des arts martiaux au sommet de sa forme .,ไม่มีอุบัติเหตุที่สายลับจากอุบัติเหตุเป็นรูปแอ็คชั่นที่แข็งแกร่งซึ่งจะส่งคืนอาจารย์ศิลปะการต่อสู้ให้อยู่ในอันดับต้น ๆ,ليس هناك مصادفة أن جواسيس الحادث هم شخصيات حركة قوية ستعيد أساتذة فنون القتال إلى القمة .,偶然のスパイが格闘技の達人を最高の状態に戻す堅実なアクション写真であることは偶然ではありません 。,意外的间谍是一个坚实的动作图片 ， 将武术大师归结为顶级形式 ， 这绝非偶然 。
POS,"wickedly funny , visually engrossing , never boring , this movie challenges us to think about the ways we consume pop culture .","drôlement drôle , visuellement captivant , jamais ennuyeux , ce film nous invite à réfléchir à la façon dont nous consommons la culture pop .",ตลกอย่างชั่วร้ายหมกมุ่นมองเห็นไม่เคยเบื่อภาพยนตร์เรื่องนี้ท้าทายให้เราคิดเกี่ยวกับวิธีที่เราใช้วัฒนธรรมป๊อป,الشر ، المهووس ، لم يسبق له مثيل ، مملة ، هذا الفيلم يتحدىنا للتفكير في كيفية استخدامنا ثقافة البوب.,この映画は 、 ひどくおもしろく 、 視覚的に興味をそそるもので 、 決してつまらないものではありません 。 ポップカルチャーの消費方法について考えることが私たちに挑戦しています 。,这部电影邪恶有趣 ， 视觉上引人入胜 ， 从不乏味 ， 挑战我们思考我们消费流行文化的方式 。
POS,"a brutal and funny work . nicole holofcenter , the insightful writer / director responsible for this illuminating comedy doesn ' t wrap the proceedings up neatly but the ideas tie together beautifully .","un travail brutal et amusant . nicole holofcenter , l ' écrivaine / metteuse en scène perspicace responsable de cette comédie éclairante n ' englobe pas les débats , mais les idées sont parfaitement liées .",การทำงานที่โหดร้ายและตลก Nicole holofcenter นักเขียน / ผู้กำกับที่มีความรับผิดชอบในภาพยนตร์คอมเมดี้ที่ฉายแสงแห่งนี้ไม่ได้มีการดำเนินคดีอย่างเป็นระเบียบ แต่ความคิดนั้นเชื่อมโยงกันอย่างสวยงาม,العمل القاسي والكوميدي نيكول هولوفسنتر الكاتب / المخرج المسؤول في هذه الكوميديا ​​اللامعة ليس له محاكمة منظمة. لكن هذه الفكرة مرتبطة بشكل جميل.,残忍で面白い作品 。 この輝かしいコメディを担当する洞察に満ちた作家 / 監督 、 ニコール・ホロセンターは 、 議事録をきれいにまとめていませんが 、 アイデアは美しく結びつきます 。,一个残酷而有趣的工作 。 nicole holofcenter ， 负责这部有启发性的喜剧的富有洞察力的作家 / 导演并没有整齐地完成整个过程 ， 但这些想法完美地结合在一起 。
POS,from blushing to gushing - - - imamura squirts the screen in ‘warm water under a red bridge ',de rougir à jaillir - - - imamura gicle l ' écran dans ‘eau chaude sous un pont rouge ',จากหน้าแดงถึงหน้าแดง - - - - อิมามูระพ่นหน้าจอด้วย screen น้ำอุ่นใต้สะพานแดง ',من اللون الأحمر إلى اللون الأحمر - - - - الإمام ناكامورا رش الشاشة مع شاشة من الماء الدافئ تحت الحمراء الجسر .,顔を赤らめることから潮吹きまで - - - 今村は「赤い橋の下の暖かい水」で画面を潮吹きさせる,从脸红到涌出 - imamura在 “ 红桥下的温水中 ” 喷出屏幕
POS,"so unassuming and pure of heart , you can ' t help but warmly extend your arms and yell ' safe ! '","si sobre et si pur de cœur , vous ne pouvez pas m ' empêcher de tendre les bras chaudement et de crier «en sécurité! '",จิตใจที่บริสุทธิ์และบริสุทธิ์คุณไม่สามารถช่วยได้ แต่อย่างอบอุ่นยืดแขนและตะโกนของคุณอย่างปลอดภัย! ',قلب نقي ونقي ، لا يمكنك المساعدة. لكن تمد ذراعيك بحرارة وأصرخ بأمان !,とても控えめで心から純粋なので 、 暖かく腕を伸ばして「安全だ」と叫ぶしかありません 。 ',如此谦逊和纯洁的心 ， 你不禁热情地伸出双臂 ， 大喊 ' 安全！ “
POS,". . . a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 ' s . . . the film ' s ending has a "" what was it all for ? "" feeling to it , but like the 1920 ' s , the trip there is a great deal of fun .",". . . un petit film aigre en son centre ; une exploration du vide qui sous - tend la gaieté implacable des années 1920 . . . la fin du film a un sentiment de "" pourquoi était - ce tout ? "" , mais comme dans les années 1920 , le voyage est très amusant .",. . . หนังเล็ก ๆ เปรี้ยวที่แกนกลางของมัน; การสำรวจความว่างเปล่าที่เป็นรากฐานของความอ่อนโยนอย่างไม่หยุดยั้งของปี ค.ศ. 1920 . . ตอนจบของภาพยนตร์เรื่องนี้มี "สิ่งที่มันมีไว้เพื่ออะไร" ให้ความรู้สึก แต่เหมือนในปี 1920 การเดินทางที่นั่นสนุกมาก,... الجلدية الصغيرة قليلا تعكر في جوهرها . وكان مسح فارغة في الأساس من الحنان لا هوادة فيها من ج . م . 1920 .. في نهاية الفيلم هي " ما هو؟ " الشعور. ولكن كما كان الحال في عشرينيات القرن العشرين ، كان السفر هناك كثيرًا من المرح.,。 。 。 その核心にある酸っぱい小さな映画 。 1920年代の容赦のない派手さの根底にある空虚さの探求 。 。 。 映画の終わりには「それは何のためのものでしたか？」という気持ちがありますが 、 1920年代のように 、 旅はとても楽しいものです 。,。 。 。 一部酸薄的小电影 ; 探索20世纪20年代无情欢乐的空虚 。 。 。 电影的结局有一个 “ 一切为了什么？ ” 的感觉 ， 但就像1920年代那样 ， 这次旅行有很多乐趣 。
POS,the film is full of charm .,le film est plein de charme .,ภาพยนตร์เรื่องนี้เต็มไปด้วยเสน่ห์,هذا الفيلم مليء بالسحر.,その映画は魅力にあふれています 。,这部电影充满了魅力 。
POS,"the movie is well done , but slow .","le film est bien fait , mais lent .",ภาพยนตร์ทำได้ดี แต่ช้า,الفيلم جيد لكن بطيء.,その映画はよくできているが遅い 。,电影做得好 ， 但速度慢 。
POS,an indispensable peek at the art and the agony of making people laugh .,un coup d ' œil indispensable à l ' art et à l ' agonie de faire rire les gens .,มองสิ่งที่ขาดไม่ได้ในงานศิลปะและความเจ็บปวดจากการทำให้ผู้คนหัวเราะ,انظر إلى الأشياء التي لا غنى عنها في الفن وألم جعل الناس يضحكون.,芸術に欠かせないのぞき見と人々を笑わせることへの苦悩 。,对艺术的不可或缺的窥视以及让人们发笑的痛苦 。
POS,"[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists .","[schweiger est] talentueux et terriblement charismatique , qualités essentielles à la fois pour les stars de cinéma et les anarchistes sociaux .",[schweiger นั้น] มีความสามารถและมีเสน่ห์ดึงดูดอย่างยิ่งคุณสมบัติที่จำเป็นสำหรับทั้งดาราภาพยนตร์และผู้นิยมอนาธิปไตยทางสังคม,[شفايغر أن ] ميزات الموهوبين وجذابة للغاية اللازمة لكلا فيلم والفوضوية المجتمع.,[シュバイガーは]才能があり 、 ひどくカリスマ的で 、 映画スターと社会的アナキストの両方にとって不可欠な資質です 。,[施威格]才华横溢 ， 极具魅力 ， 对电影明星和社会无政府主义者都至关重要 。
POS,it ' s fascinating to see how bettany and mcdowell play off each other .,c ' est fascinant de voir comment bettany et mcdowell se jouent l ' un l ' autre .,มันน่าสนใจที่จะเห็นว่า bettany และ mcdowell เล่นกันอย่างไร,من المثير للاهتمام أن نرى أن بيتاني و ماكدويل لعب.,どのようにしてbettanyとmcdowellがお互いにやりとりするかを見るのは魅力的です 。,看到bettany和mcdowell如何相互影响 ， 这真是令人着迷 。
POS,hawke draws out the best from his large cast in beautifully articulated portrayals that are subtle and so expressive they can sustain the poetic flights in burdette ' s dialogue .,"hawke tire le meilleur de sa grande distribution dans des représentations joliment articulées , subtiles et si expressives qu ' elles peuvent soutenir les envolées poétiques dans le dialogue de burdette .",Hawke ดึงเอาสิ่งที่ดีที่สุดออกมาจากนักแสดงตัวใหญ่ของเขาในภาพวาดที่สวยงามซึ่งมีความละเอียดอ่อนและแสดงออกอย่างชัดเจนพวกเขาสามารถสนับสนุนบทกวีในบทสนทนาของ burdette,يستمد Hawke أفضل ما في ممثلاته الكبيرة في لوحات جميلة حساسة ومعبرة بوضوح. ويمكنهم دعم القصيدة في حوار burdette .,ホークは彼の大きなキャストから微妙で表現力豊かに表現された美しい描写で最高のものを引き出す 。 彼らはブルデットの対話で詩的な飛行を支えることができる 。,霍克从他的大型演员中汲取了最精彩的描绘 ， 这些描写是微妙而富有表现力的 ， 他们可以在burdette的对话中维持诗意的飞行 。
POS,"with three excellent principal singers , a youthful and good - looking diva and tenor and richly handsome locations , it ' s enough to make you wish jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .","avec trois excellents chanteurs principaux , une diva et un ténor joliment beaux , et des lieux richement beaux , vous pouvez souhaiter que jacquot soit parti assez bien seul et ait juste filmé l ' opéra sans toutes ces distorsions de perspective .",กับนักร้องหลักยอดเยี่ยมสามคนนักร้องที่อายุน้อยและดูดีและอายุและสถานที่ที่หล่อเหลามันก็เพียงพอแล้วที่จะทำให้คุณอยากให้จาค็อตได้ทิ้งตัวคนเดียวไว้พอแล้วและถ่ายทำโอเปร่าโดยไม่บิดเบือนมุมมองเหล่านี้ทั้งหมด,مع ثلاثة مغنين رئيسيين ، مغني شاب وحسن المظهر ، وعمر وموقع رائع ، يكفي أن تجعلك ترغب في أن يعقوب من ترك نفسه بمفرده وتصوير أوبرا بها لا تشوه كل هذه الآراء,3人の優秀なプリンシパル歌手 、 若くて格好良い歌姫とテナー 、 そして非常にハンサムな場所で 、 あなたはジャコットが一人で十分に去ってオペラを撮ったことを望みそうするのに十分です 。,有三位出色的主要歌手 ， 一位年轻而漂亮的女主角 ， 男高音和富有英俊的地方 ， 这足以让你希望jacquot独自留下足够的音乐 ， 并且只是在没有所有这些扭曲视角的情况下拍摄歌剧 。
POS,"brash , intelligent and erotically perplexing , haneke ' s portrait of an upper class austrian society and the suppression of its tucked away demons is uniquely felt with a sardonic jolt .","effronté , intelligent et érotiquement déroutant , le portrait de la société autrichienne de la haute bourgeoisie par haneke et la suppression de ses démons dissimulés sont uniquement ressentis avec une secousse sardonique .",ฉลาดหลักแหลมและน่าฉงนสนเท่ห์ภาพเหมือนของสังคมออสเตรียชั้นสูงและการปราบปรามปีศาจร้ายที่ซ่อนตัวอยู่นั้นมีความรู้สึกที่ไม่เหมือนใครด้วยการเขย่าประชดประชัน,ذكي ومحير: صور المجتمع النمساوي وقمع الشياطين الخفية لها شعور فريد من خلال هز المفارقة.,素直で知的でエロティックに困惑している 、 上流階級のオーストリア社会に対するhanekeの肖像とその隠れている悪魔の抑圧は 、 辛辣な衝撃で独特に感じられます 。,哈内克对上流社会奥地利社会的描绘以及对其隐藏的恶魔的镇压 ， 具有讽刺性 ， 震撼性和情感困惑 ， 具有讽刺性的震撼感 。
POS,"the film ' s 45 - minute running time stops shy of overkill , though viewers may be more exhausted than the athletes onscreen .","les 45 minutes que dure le film s ' arrêtent , même si les téléspectateurs sont peut - être plus épuisés que les athlètes à l ' écran .",เวลาในการฉายภาพยนตร์ 45 นาทีหยุดอายเกินเหตุถึงแม้ว่าผู้ชมอาจจะอ่อนล้ากว่านักกีฬาบนหน้าจอ,توقف عرض الأفلام الذي يستغرق 45 دقيقة عن الإحراج ، على الرغم من أن المشاهدين قد يكونون أكثر تعبًا من الرياضيين على الشاشة.,映画の45分間の実行時間は 、 やり過ぎではありませんが 、 視聴者は画面に表示されたアスリートよりも疲弊している可能性があります 。,尽管观众可能比屏幕上的运动员更疲惫 ， 但是这部电影的45分钟运行时间仍然过于苛刻 。
POS,"like all of egoyan ' s work , ararat is fiercely intelligent and uncommonly ambitious .","comme tous les travaux d ' egoyan , ararat est extrêmement intelligent et ambitieux .",เช่นเดียวกับงานของ egoyan ทั้งหมด ararat นั้นฉลาดและทะเยอทะยานอย่างไม่ธรรมดา,مثل جميع أعمال egoyan ، فإن ararat غير عادي وطموح.,他のエゴヤンの作品のように 、 アララトは激しく知的で珍しい野心的です 。,像所有egoyan的作品一样 ， ararat非常聪明 ， 而且非常雄心勃勃 。
POS,"a minor work yet there ' s no denying the potency of miller ' s strange , fleeting brew of hopeful perseverance and hopeless closure .","une œuvre mineure , mais on ne peut nier la puissance de l ' étrange et fugace brasserie de la persévérance et de la fermeture sans espoir du meunier .",งานเล็ก ๆ น้อย ๆ แต่ก็ยังไม่มีการปฏิเสธศักยภาพของมิลเลอร์ที่แปลกประหลาดซึ่งไม่ย่อท้อก่อให้เกิดความเพียรมีความหวังและการปิดอย่างสิ้นหวัง,الصغيرة قليلا أقل ذلك ولكن ليس هناك من ينكر إمكانية غرابة أن المثابرة التي لا تقهر قد تسبب الأمل واليأس مغلق لميلر.,小さな仕事でも 、 ミラーの奇妙でつかの間の忍耐力と絶望的な閉鎖の可能性を否定することはできません 。,这是一项小工作 ， 但不可否认米勒奇怪的 ， 稍纵即逝的充满希望的坚持和绝望的封闭 。
POS,"narc may not get an ' a ' for originality , but it wears its b - movie heritage like a badge of honor .","narc n ' a peut - être pas le mérite de l ' originalité , mais il porte son héritage de b - movie comme un badge d ' honneur .",ยาเสพติดอาจไม่ได้รับ 'a' สำหรับความคิดริเริ่ม แต่มันสวมมรดกภาพยนตร์ b ของมันเช่นตราเกียรติยศ,قد لا تكون الدواء "أ" للمبادرة. لكنها ارتدت فيلمها ب تراث، مثل قاعة المشاهير,narcは独創性のために「a」を得ることはできませんが 、 それは名誉のバッジのようなb - 映画遺産を身に着けています 。,narc可能无法获得原创性的 ' a ' ， 但它的b - movie遗产就像荣誉徽章一样 。
POS,it ' s always fascinating to watch marker the essayist at work .,il est toujours fascinant de regarder l’essayiste au travail .,เป็นเรื่องที่น่าสนใจเสมอที่ได้ดูเครื่องหมายผู้เขียนเรียงความในที่ทำงาน,من المثير للاهتمام دائمًا رؤية علامات الكاتب في العمل.,仕事でエッセイストのマーカーを見るのは常に魅力的です 。,在工作中观看散文家时 ， 总是很有吸引力 。
POS,"there is little question that this is a serious work by an important director who has something new to say about how , in the flip - flop of courtship , we often reel in when we should be playing out .","il ne fait aucun doute que c ' est un travail sérieux réalisé par un important réalisateur qui a quelque chose de nouveau à dire sur la façon dont , dans la volte - face , nous arrivons souvent quand nous devrions jouer .",มีคำถามเล็ก ๆ น้อย ๆ ว่านี่เป็นงานที่จริงจังโดยผู้กำกับคนสำคัญที่มีอะไรใหม่ที่จะพูดเกี่ยวกับวิธีการที่พวกเขาจะต้องเกี้ยวพาราสีพวกเรามักจะเข้ามาใกล้เมื่อเราควรจะเล่น,ليس هناك من شك في القليل بت أكثر ، أن هذه الرقابة جادة من قبل الأشخاص الذين لديهم شيء جديد ليقوله عن الكيفية التي سيتم مغازلة لهم اقترب كثيرا عندما كنا يجب أن يكون اللعب.,これが重要な監督による深刻な仕事であることにほとんど疑問はありません 。,毫无疑问 ， 这是一位重要导演的认真工作 ， 他有一些新的话题 ， 在求爱的触发器中 ， 我们经常会在我们应该玩的时候卷入其中 。
